store_number,store_url,name,street,city,state,postal_code,country,phone,facility_type,latitude,longitude,hours,complete_address
204,https://www.nike.com/retail/s/nike-clearance-store-orlando-marketplace,Nike Clearance Store - Orlando Marketplace,Orlando Premium Outlets-International Dr 5209 International Dr. Suite A-C ,Orlando,FL,32819,US,+1 (407) 352-3488,NIKE_OWNED_STORE,28.468446,-81.451038,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 07:00",Orlando Premium Outlets-International Dr 5209 International Dr. Suite A-C  Orlando FL 32819
78,https://www.nike.com/retail/s/nike-factory-store-myrtle-beach,Nike Factory Store - Myrtle Beach,Tanger Outlet Center - Myrtle Beach 4642 Factory Stores Blvd. Ste FF100,Myrtle Beach,SC,29579,US,+1 (843) 903-0110,NIKE_OWNED_STORE,33.752314,-78.960667,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 07:00",Tanger Outlet Center - Myrtle Beach 4642 Factory Stores Blvd. Ste FF100 Myrtle Beach SC 29579
25355,https://www.nike.com/retail/s/nike-hd-muyeok,나이키 현대 무역,테헤란로 517 현대백화점무역센터점 6F  ,강남구,서울특별시,06164,KR,+82 2 3467 8451,FRANCHISEE_PARTNER_STORE,37.50885008,127.0597774,"monday:10:30 - 07:30, tuesday:10:30 - 07:30, wednesday:10:30 - 07:30, thursday:10:30 - 07:30, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30",테헤란로 517 현대백화점무역센터점 6F   강남구 서울특별시 06164
1465,https://www.nike.com/retail/s/nike-chadstone,Nike Chadstone,Chadstone Shopping Centre 1341 Dandenong Rd Shop 328,Chadstone,Victoria,3148,AU,+61 3 9569 0249,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,-37.8850641354084,145.08264589754722,"monday:09:00 - 05:00, tuesday:09:00 - 05:00, wednesday:09:00 - 05:00, thursday:09:00 - 09:00, friday:09:00 - 09:00, saturday:09:00 - 09:00, sunday:09:00 - 07:00",Chadstone Shopping Centre 1341 Dandenong Rd Shop 328 Chadstone Victoria 3148
6547,https://www.nike.com/retail/s/nike-west-end,Nike West End,"FF-3, 1St Floor, Plot No. 2&3, Ferozepur Road  ",Ludhiana,Punjab,141001,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,30.885774,75.7885907,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","FF-3, 1St Floor, Plot No. 2&3, Ferozepur Road   Ludhiana Punjab 141001"
287,https://www.nike.com/retail/s/nike-factory-store-farmington,Nike Factory Store - Farmington,210 N Station Pkwy.  ,Farmington,UT,84025,US,8014515492,NIKE_OWNED_STORE,40.98458,-111.903551,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 06:00",210 N Station Pkwy.   Farmington UT 84025
PD3,https://www.nike.com/retail/s/nike-robson,Nike Robson,1119 Robson St.  ,Vancouver,British Columbia,V6E 1B5,CA,6049798818,FRANCHISEE_PARTNER_STORE,49.285092,-123.124972,"monday:11:00 - 07:00, tuesday:11:00 - 07:00, wednesday:11:00 - 07:00, thursday:11:00 - 07:00, friday:11:00 - 08:00, saturday:11:00 - 08:00, sunday:11:00 - 08:00",1119 Robson St.   Vancouver British Columbia V6E 1B5
6312,https://www.nike.com/retail/s/nike-factory-store-premium-itupeva,Nike Factory Store - Premium Itupeva,Estrada Municipal Joaquim Bueno Neto 9999 - Rio Abaixo Loja 789,Itupeva,SP,13295-000,BR,+55 11 4496 5696,NIKE_OWNED_STORE,-23.1083172,-47.0089725,"monday:09:00 - 09:00, tuesday:09:00 - 09:00, wednesday:09:00 - 09:00, thursday:09:00 - 09:00, friday:09:00 - 09:00, saturday:09:00 - 09:00, sunday:09:00 - 09:00",Estrada Municipal Joaquim Bueno Neto 9999 - Rio Abaixo Loja 789 Itupeva SP 13295-000
3310,https://www.nike.com/retail/s/耐克換季優惠店-台灣新竹,NIKE換季優惠店 新竹復興,竹北市復興三路二段 6+PLAZA購物廣場1樓 編號105-1/105-2號單元 ,新竹縣,台湾,30273,TW,+886 3-6580351,NIKE_OWNED_STORE,24.807625,121.03831,"monday:11:00 - 10:00, tuesday:11:00 - 10:00, wednesday:11:00 - 10:00, thursday:11:00 - 10:00, friday:11:00 - 10:00, saturday:11:00 - 10:00, sunday:11:00 - 10:00",竹北市復興三路二段 6+PLAZA購物廣場1樓 編號105-1/105-2號單元  新竹縣 台湾 30273
2676,https://www.nike.com/retail/s/nsp-markantalya,Nike Store MarkAntalya (Partnered),Tahılpazarı Mah. Eski Otogar Alanı Markantalya AVM No:1 BK:27 Muratpaşa,ANTALYA,,07025,TR,+90 242 240 87 87,FRANCHISEE_PARTNER_STORE,36.89315,30.70408,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",Tahılpazarı Mah. Eski Otogar Alanı Markantalya AVM No:1 BK:27 Muratpaşa ANTALYA  07025
